BreedGroup,PrimaryBreed,TagIdentity,PrimaryColour,YearsOld,MonthsOld,Location,Size
HOUND,BEAGLE,543785,BL BRINDLE,3,.00,SHELTER,MED
HOUND,BEAGLE,584020,BL BRINDLE,3,.00,SHELTER,MED
HOUND,BEAGLE,664425,BL BRINDLE,3,.00,SHELTER,MED
POODLE,POODLE MIN,664427,BLACK,1,.00,SHELTER,SMALL
POODLE,POODLE MIN,543787,BLACK,1,.00,SHELTER,SMALL
POODLE,POODLE MIN,584021,BLACK,1,.00,SHELTER,SMALL
POODLE,POODLE MIN,584022,BLACK,0,.00,SHELTER,SMALL
POODLE,POODLE MIN,664430,BLACK,0,.00,SHELTER,SMALL
POODLE,POODLE MIN,535176,BLACK,0,.00,SHELTER,SMALL
SETTER/RETRIEVE,LABRADOR RETR,573323,BLACK,2,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,531470,BLACK,2,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,653172,BLACK,2,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,604368,BROWN,0,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,531360,BROWN,0,.00,SHELTER,LARGE
HOUND,BEAGLE,531362,BL BRINDLE,1,.00,SHELTER,MED
HOUND,BEAGLE,531363,BL BRINDLE,1,.00,SHELTER,MED
TERRIER,JACK RUSS TER,579053,WHITE,1,2.00,SHELTER,MED
TERRIER,JACK RUSS TER,531367,WHITE,1,2.00,SHELTER,MED
TERRIER,JACK RUSS TER,664786,WHITE,1,2.00,SHELTER,MED
TERRIER,JACK RUSS TER,579052,WHITE,1,2.00,SHELTER,MED
TERRIER,MIN PINSCHER,531384,BLACK,0,11.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,551928,BLACK,0,11.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,531375,BLACK,0,11.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,685799,BLACK,0,11.00,SHELTER,SMALL
POODLE,POODLE MIN,613557,WHITE,3,.00,SHELTER,SMALL
POODLE,POODLE MIN,531376,WHITE,3,.00,SHELTER,SMALL
POODLE,POODLE MIN,613567,WHITE,3,.00,SHELTER,SMALL
POODLE,POODLE MIN,531379,WHITE,3,.00,SHELTER,SMALL
TOY,MALTESE,685217,WHITE,1,.00,SHELTER,SMALL
TOY,MALTESE,531405,WHITE,1,.00,SHELTER,SMALL
TOY,MALTESE,632121,WHITE,1,.00,SHELTER,SMALL
TOY,PUG,781698,TAN,0,6.00,SHELTER,SMALL
TOY,PUG,531415,TAN,0,6.00,SHELTER,SMALL
TOY,PUG,572235,TAN,0,6.00,SHELTER,SMALL
SETTER/RETRIEVE,GOLDEN RETR,629855,GOLD,0,6.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,717789,GOLD,0,6.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,621925,GOLD,0,6.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,531419,GOLD,0,6.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,670598,GOLD,0,6.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,531420,GOLD,4,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,531427,BLACK,3,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,581313,BLACK,3,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,581314,BLACK,2,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,531429,BLACK,2,.00,SHELTER,LARGE
MASTIFF,PIT BULL,531432,CHOCOLATE,1,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,557366,CHOCOLATE,14,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,531434,CHOCOLATE,14,.00,SHELTER,LARGE
SPANIEL,COCKER SPAN,675045,APRICOT,5,.00,SHELTER,SMALL
SPANIEL,COCKER SPAN,531435,APRICOT,5,.00,SHELTER,SMALL
SETTER/RETRIEVE,GOLDEN RETR,675046,CREAM,3,.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,531438,CREAM,3,.00,SHELTER,MED
TOY,CHIHUAHUA SH,718496,BLACK,0,4.00,SHELTER,SMALL
TOY,CHIHUAHUA SH,569704,BLACK,0,4.00,SHELTER,SMALL
TOY,CHIHUAHUA SH,531439,BLACK,0,4.00,SHELTER,SMALL
TOY,CHIHUAHUA SH,684617,BLACK,0,4.00,SHELTER,SMALL
TOY,CHIHUAHUA SH,703093,BLACK,0,4.00,SHELTER,SMALL
MASTIFF,ROTTWEILER,531441,BLACK,3,.00,SHELTER,LARGE
MASTIFF,ROTTWEILER,581315,BLACK,3,.00,SHELTER,LARGE
SETTER/RETRIEVE,GOLDEN RETR,631613,GOLD,1,.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,685396,GOLD,1,.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,531442,GOLD,1,.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,719920,GOLD,1,.00,SHELTER,MED
SETTER/RETRIEVE,GOLDEN RETR,779135,GOLD,1,.00,SHELTER,MED
SETTER/RETRIEVE,LABRADOR RETR,531450,TAN,1,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,579361,TAN,1,.00,SHELTER,LARGE
POODLE,POODLE TOY,531451,APRICOT,0,.00,SHELTER,TOY
POODLE,POODLE TOY,664291,BLACK,0,.00,SHELTER,SMALL
POODLE,POODLE TOY,577942,BLACK,0,.00,SHELTER,SMALL
POODLE,POODLE TOY,531454,BLACK,0,.00,SHELTER,SMALL
POODLE,POODLE TOY,749127,BLACK,0,.00,SHELTER,SMALL
TOY,DACHSHUND,653048,BLACK,0,.00,SHELTER,TOY
TOY,DACHSHUND,709726,BLACK,0,.00,SHELTER,TOY
TOY,DACHSHUND,531462,BLACK,0,.00,SHELTER,TOY
TOY,DACHSHUND,757058,BLACK,0,.00,SHELTER,TOY
TERRIER,MIN PINSCHER,535088,RED,1,.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,584330,RED,1,.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,670425,RED,1,.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,535089,RED,1,.00,SHELTER,SMALL
TERRIER,MIN PINSCHER,756875,RED,1,.00,SHELTER,SMALL
COLLIE,BORDER COLLIE,531480,BLACK,12,.00,SHELTER,MED
SHEPHERD,WELSH CORGI CAR,693287,SABLE,0,6.00,SHELTER,MED
SHEPHERD,WELSH CORGI CAR,657466,SABLE,0,6.00,SHELTER,MED
SHEPHERD,WELSH CORGI CAR,569905,SABLE,0,6.00,SHELTER,MED
SHEPHERD,WELSH CORGI CAR,531481,SABLE,0,6.00,SHELTER,MED
SHEPHERD,WELSH CORGI CAR,768971,SABLE,0,6.00,SHELTER,MED
SHEPHERD,WELSH CORGI CAR,531482,SABLE,0,6.00,SHELTER,MED
SHEPHERD,GERM SHEPHERD,531483,BLACK,0,6.00,SHELTER,LARGE
SHEPHERD,GERM SHEPHERD,582746,BLACK,0,6.00,SHELTER,LARGE
TERRIER,SCHNAUZER MIN,750786,BLACK,6,.00,SHELTER,MED
TERRIER,SCHNAUZER MIN,586954,BLACK,6,.00,SHELTER,MED
TERRIER,SCHNAUZER MIN,678531,BLACK,6,.00,SHELTER,MED
TERRIER,SCHNAUZER MIN,531512,BLACK,6,.00,SHELTER,MED
POINTER,WEIMARANER,604125,SILVER,0,.00,SHELTER,LARGE
POINTER,WEIMARANER,531528,SILVER,0,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,531527,BROWN,1,.00,SHELTER,LARGE
SETTER/RETRIEVE,LABRADOR RETR,574493,BROWN,1,.00,SHELTER,LARGE
MASTIFF,BOXER,580555,FAWN,0,4.00,SHELTER,LARGE
MASTIFF,BOXER,580556,FAWN,0,4.00,SHELTER,LARGE
MASTIFF,BOXER,531536,FAWN,0,4.00,SHELTER,LARGE
MASTIFF,BOXER,719166,FAWN,0,4.00,SHELTER,LARGE
MASTIFF,BOXER,788681,FAWN,0,4.00,SHELTER,LARGE
